PACKAGE,VERSION,LICENSE,LICENSE FILES,SOURCE ARCHIVE,SOURCE SITE
uclibc,1.0.19,LGPLv2.1+,COPYING.LIB,uClibc-ng-1.0.19.tar.xz,http://downloads.uclibc-ng.org/releases/1.0.19
linux-headers,9669a50a3a8e4f33b4fe138277bc4407e1eab9b2,GPLv2,COPYING,linux-9669a50a3a8e4f33b4fe138277bc4407e1eab9b2.tar.gz,https://github.com/raspberrypi/linux.git
busybox,1.25.1,GPLv2,LICENSE,busybox-1.25.1.tar.bz2,http://www.busybox.net/downloads
dropbear,2016.74,"MIT, BSD-2c-like, BSD-2c",LICENSE,dropbear-2016.74.tar.bz2,http://matt.ucc.asn.au/dropbear/releases
eudev,3.2,"GPLv2+ (programs), LGPLv2.1+ (libraries)",COPYING,eudev-3.2.tar.gz,http://dev.gentoo.org/~blueness/eudev
kmod,23,LGPLv2.1+ (library),libkmod/COPYING,kmod-23.tar.xz,https://cdn.kernel.org/pub/linux/utils/kernel/kmod
zlib,1.2.8,zlib license,README,zlib-1.2.8.tar.xz,http://downloads.sourceforge.net/project/libpng/zlib/1.2.8
util-linux,2.28.2,"GPLv2+, BSD-4c, LGPLv2.1+ (libblkid, libfdisk, libmount), BSD-3c (libuuid)",README.licensing Documentation/licenses/COPYING.GPLv2 Documentation/licenses/COPYING.UCB Documentation/licenses/COPYING.LGPLv2.1 Documentation/licenses/COPYING.BSD-3,util-linux-2.28.2.tar.xz,https://cdn.kernel.org/pub/linux/utils/util-linux/v2.28
ncurses,5.9,MIT with advertising clause,README,ncurses-5.9.tar.gz,http://ftpmirror.gnu.org/ncurses
gesftpserver,0.2.1,GPLv2+,COPYING,sftpserver-0.2.1.tar.gz,http://www.greenend.org.uk/rjk/sftpserver
libiconv,1.14,"GPLv3+ (iconv program), LGPLv2+ (library)",COPYING COPYING.LIB,libiconv-1.14.tar.gz,http://ftpmirror.gnu.org/libiconv
nano,2.7.1,GPLv3+,COPYING,nano-2.7.1.tar.xz,https://www.nano-editor.org/dist/v2.7
openssl,1.0.2j,OpenSSL or SSLeay,LICENSE,openssl-1.0.2j.tar.gz,http://www.openssl.org/source
rpi-firmware,ad8608c08b122b2c228dba0ff5070d6e9519faf5,BSD-3c,boot/LICENCE.broadcom,rpi-firmware-ad8608c08b122b2c228dba0ff5070d6e9519faf5.tar.gz,https://github.com/raspberrypi/firmware/archive/ad8608c08b122b2c228dba0ff5070d6e9519faf5
socat,2.0.0-b9,GPLv2,COPYING,socat-2.0.0-b9.tar.bz2,http://www.dest-unreach.org/socat/download
linux,9669a50a3a8e4f33b4fe138277bc4407e1eab9b2,GPLv2,COPYING,linux-9669a50a3a8e4f33b4fe138277bc4407e1eab9b2.tar.gz,https://github.com/raspberrypi/linux.git
,,,,,
The above software is included in the compiled releases of this project.,,,,,
